Membership No  Date Joined  Active  
    38024      2017-10-7    yes   
    98323      2015-11-18   yes   
    27246      2017-12-2    yes   
    29188      2016-10-11   no    
    88892      2015-11-6    no    
    91947      2020-12-22   no    
    33630      2020-10-3    no    
    45668      2020-2-21    no    
    55869      2019-7-21    no    
    32885      2017-12-1    yes   
    38266      2017-10-8    no    
    36813      2018-3-18    yes   
    13680      2020-4-23    no    
    91727      2020-11-11   yes   
    52332      2019-2-11    no    
    42322      2015-1-12    no    
    23532      2017-3-20    no    
    97881      2018-5-7     no    
    99475      2019-7-24    yes   
    36772      2020-7-12    no    
