Membership No  Date Joined  Active  
    43048      2018-8-25    yes   
    62653      2016-3-9     yes   
    96624      2020-1-5     no    
    28488      2016-5-19    no    
    41427      2018-8-16    yes   
    23694      2016-9-13    no    
    37941      2018-12-11   no    
    42626      2017-12-6    yes   
    26237      2016-2-10    no    
    46614      2018-6-22    yes   
    91164      2016-1-12    no    
    64137      2019-6-17    yes   
    62690      2015-10-7    yes   
    67383      2016-5-15    no    
    22026      2016-1-7     yes   
    91255      2017-4-12    yes   
    48966      2018-3-19    yes   
    66394      2017-11-20   no    
    18838      2020-3-11    yes   
    57023      2017-10-1    yes   
